time period,network rail region,network rail route,scheduled stops,recorded station stops,recorded_station_stops_%,time_to_3_%,cancellations_%,source_sheet
Apr 2023 to Mar 2024 Period 01,Eastern,Anglia,879772,834312,96.64207501207575,94.00200404644785,1.8721896127633069,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Eastern,East Coast,247303,238766,99.93303365895717,87.1233760250622,3.3873426525355534,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Eastern,East Midlands,218499,200651,95.41179267712792,81.19122257053291,3.752419919541966,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Eastern,North & East,403921,366617,94.36706726623612,82.14048993909175,3.817578189794539,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),335105,310609,94.87546810187362,92.15444497744754,2.3034571253786127,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),89492,59867,74.04333737353748,83.97781749544825,9.65225941983641,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),7332,5050,69.98337028824834,84.65346534653465,1.5821058374249863,3130c Region and route
Apr 2023 to Mar 2024 Period 01,North West & Central,Central,376311,357139,98.23439451201735,82.48469083466101,3.388952223028293,3130c Region and route
Apr 2023 to Mar 2024 Period 01,North West & Central,North West,833438,759040,92.83155568437957,87.64650084317032,1.8939621183579343,3130c Region and route
Apr 2023 to Mar 2024 Period 01,North West & Central,West Coast South,170863,166471,99.54196738759964,84.6255503961651,2.122168052767422,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Scotland,Scotland,731934,656899,91.21000270756244,91.6819785081116,1.6024668890910931,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Southern,High Speed,10351,10256,99.99025056059277,89.82059282371296,0.9081248188580814,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Southern,Kent,782817,753276,97.7766239834892,89.42685018505833,1.5855557556874722,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Southern,Sussex,600666,552516,94.42700277718437,91.30450520889892,2.587294769472552,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Southern,Wessex,661685,629272,98.446192451862,89.43795369887744,3.397538103478241,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Wales & Western,Wales,186059,139877,79.30479252065156,74.00358886736204,5.202650772066925,3130c Region and route
Apr 2023 to Mar 2024 Period 01,Wales & Western,Western,392985,353754,92.45497526285665,81.24120151291575,2.63674186037635,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Eastern,Anglia,835266,793370,96.74323661895575,93.16813088470701,1.8183428991482953,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Eastern,East Coast,215251,202781,99.89457868420405,83.90628313303515,5.69381791489935,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Eastern,East Midlands,194225,181922,95.68848984057354,81.23646397906795,2.1140429913759813,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Eastern,North & East,360432,327776,94.79047977095925,79.28432832178073,4.062347405335819,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),343182,320118,95.13023580630303,90.99238405837848,1.9456148632504036,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),59675,42923,75.5819686564536,86.72739556880926,4.834520318391286,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),5309,3606,68.29545454545455,87.7149195784803,0.5462422301751743,3130c Region and route
Apr 2023 to Mar 2024 Period 02,North West & Central,Central,339400,327088,98.31940098413186,85.38772440444163,1.9802592810842665,3130c Region and route
Apr 2023 to Mar 2024 Period 02,North West & Central,North West,764082,696271,93.32015386471164,85.77479171184783,2.352103570035677,3130c Region and route
Apr 2023 to Mar 2024 Period 02,North West & Central,West Coast South,175816,170137,99.47321647820952,85.03500120491132,2.7176138690449108,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Scotland,Scotland,705760,631648,90.92254321947287,92.03892041136835,1.5656880525957835,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Southern,High Speed,9536,9481,99.91569185372536,90.47568821854234,0.4928691275167785,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Southern,Kent,699734,674594,97.90615960906852,89.43349629554962,1.5310103553636096,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Southern,Sussex,518070,484781,95.73008901983397,90.55243501704894,2.2518192522246028,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Southern,Wessex,620364,599926,98.47234145228508,89.99809976563776,1.7942691710028307,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Wales & Western,Wales,184931,140153,78.864798861085,70.31030373948471,3.9030773639898126,3130c Region and route
Apr 2023 to Mar 2024 Period 02,Wales & Western,Western,366511,333091,93.16214454926596,80.2897706632722,2.4479483562567017,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Eastern,Anglia,849923,801962,96.72879554881719,91.67105174559393,2.451986827041979,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Eastern,East Coast,215908,207310,99.92239879308433,79.31503545415079,3.9076829019767683,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Eastern,East Midlands,182735,168019,97.13653076798558,74.79035109124564,5.342709387911457,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Eastern,North & East,331868,298162,94.30969913206306,76.41114561882466,4.7356177757421625,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (Private Railway),345986,320160,95.24064505189509,91.61419290354823,2.840288335366171,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (TfW Cardiff Valleys),69974,51761,82.10818527918782,83.90873437530186,9.909394918112442,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Non-Network Rail Infrastructure,Non-Network Rail Infrastructure (The Chiltern Railway Co Ltd),6984,5092,73.42465753424658,88.19717203456402,0.7016036655211914,3130c Region and route
Apr 2023 to Mar 2024 Period 03,North West & Central,Central,334823,320149,98.39627251688093,81.11035798956111,2.8241787451877562,3130c Region and route
Apr 2023 to Mar 2024 Period 03,North West & Central,North West,757038,682562,93.24388198104418,83.48867941666838,3.3049860112702403,3130c Region and route
Apr 2023 to Mar 2024 Period 03,North West & Central,West Coast South,175356,167001,99.74198634677752,79.43844647636841,4.518237186067201,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Scotland,Scotland,707110,631840,91.42552865150819,89.63107748797164,2.264428448190522,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Southern,High Speed,9091,8778,99.9203187250996,84.43836864889496,3.3659663403365965,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Southern,Kent,685029,651803,98.08554982882511,85.58168649116375,2.993157953896842,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Southern,Sussex,540914,507874,97.05606378241818,86.99342750367217,3.2602225122662754,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Southern,Wessex,617944,590266,98.24994174240155,86.50100124350718,2.777597970042593,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Wales & Western,Wales,182863,136871,79.61458145500445,65.59461098406528,5.985902014076112,3130c Region and route
Apr 2023 to Mar 2024 Period 03,Wales & Western,Western,369024,329266,92.23137254901961,78.39406437348528,3.258324661810614,3130c Region and route
Apr 2023 to Mar 2024 Period 04,Eastern,Anglia,849987,803158,96.74807324905981,93.33742551278826,2.3333298038675885,3130c Region and route
Apr 2023 to Mar 2024 Period 04,Eastern,East Coast,213373,207414,99.95807249121691,84.86794526888252,2.7519883021750644,3130c Region and route
